n         n^2       n^3            rad_quad(n)    rad_cub(n)     
---------------------------------------------------------------------------
1         1         1              1.0            1.0            
2         4         8              1.4142         1.2599         
3         9         27             1.7321         1.4422         
4         16        64             2.0            1.5874         
5         25        125            2.2361         1.71           
6         36        216            2.4495         1.8171         
7         49        343            2.6458         1.9129         
8         64        512            2.8284         2.0            
9         81        729            3.0            2.0801         
10        100       1000           3.1623         2.1544         
11        121       1331           3.3166         2.224          
12        144       1728           3.4641         2.2894         
13        169       2197           3.6056         2.3513         
14        196       2744           3.7417         2.4101         
15        225       3375           3.873          2.4662         
16        256       4096           4.0            2.5198         
17        289       4913           4.1231         2.5713         
18        324       5832           4.2426         2.6207         
19        361       6859           4.3589         2.6684         
20        400       8000           4.4721         2.7144         
21        441       9261           4.5826         2.7589         
22        484       10648          4.6904         2.802          
23        529       12167          4.7958         2.8439         
24        576       13824          4.899          2.8845         
25        625       15625          5.0            2.924          
26        676       17576          5.099          2.9625         
27        729       19683          5.1962         3.0            
28        784       21952          5.2915         3.0366         
29        841       24389          5.3852         3.0723         
30        900       27000          5.4772         3.1072         
31        961       29791          5.5678         3.1414         
32        1024      32768          5.6569         3.1748         
33        1089      35937          5.7446         3.2075         
34        1156      39304          5.831          3.2396         
35        1225      42875          5.9161         3.2711         
36        1296      46656          6.0            3.3019         
37        1369      50653          6.0828         3.3322         
38        1444      54872          6.1644         3.362          
39        1521      59319          6.245          3.3912         
40        1600      64000          6.3246         3.42           
41        1681      68921          6.4031         3.4482         
42        1764      74088          6.4807         3.476          
43        1849      79507          6.5574         3.5034         
44        1936      85184          6.6332         3.5303         
45        2025      91125          6.7082         3.5569         
46        2116      97336          6.7823         3.583          
47        2209      103823         6.8557         3.6088         
48        2304      110592         6.9282         3.6342         
49        2401      117649         7.0            3.6593         
50        2500      125000         7.0711         3.684          
51        2601      132651         7.1414         3.7084         
52        2704      140608         7.2111         3.7325         
53        2809      148877         7.2801         3.7563         
54        2916      157464         7.3485         3.7798         
55        3025      166375         7.4162         3.803          
56        3136      175616         7.4833         3.8259         
57        3249      185193         7.5498         3.8485         
58        3364      195112         7.6158         3.8709         
59        3481      205379         7.6811         3.893          
60        3600      216000         7.746          3.9149         
61        3721      226981         7.8102         3.9365         
62        3844      238328         7.874          3.9579         
63        3969      250047         7.9373         3.9791         
64        4096      262144         8.0            4.0            
65        4225      274625         8.0623         4.0207         
66        4356      287496         8.124          4.0412         
67        4489      300763         8.1854         4.0615         
68        4624      314432         8.2462         4.0817         
69        4761      328509         8.3066         4.1016         
70        4900      343000         8.3666         4.1213         
71        5041      357911         8.4261         4.1408         
72        5184      373248         8.4853         4.1602         
73        5329      389017         8.544          4.1793         
74        5476      405224         8.6023         4.1983         
75        5625      421875         8.6603         4.2172         
76        5776      438976         8.7178         4.2358         
77        5929      456533         8.775          4.2543         
78        6084      474552         8.8318         4.2727         
79        6241      493039         8.8882         4.2908         
80        6400      512000         8.9443         4.3089         
81        6561      531441         9.0            4.3267         
82        6724      551368         9.0554         4.3445         
83        6889      571787         9.1104         4.3621         
84        7056      592704         9.1652         4.3795         
85        7225      614125         9.2195         4.3968         
86        7396      636056         9.2736         4.414          
87        7569      658503         9.3274         4.431          
88        7744      681472         9.3808         4.448          
89        7921      704969         9.434          4.4647         
90        8100      729000         9.4868         4.4814         
91        8281      753571         9.5394         4.4979         
92        8464      778688         9.5917         4.5144         
93        8649      804357         9.6437         4.5307         
94        8836      830584         9.6954         4.5468         
95        9025      857375         9.7468         4.5629         
96        9216      884736         9.798          4.5789         
97        9409      912673         9.8489         4.5947         
98        9604      941192         9.8995         4.6104         
99        9801      970299         9.9499         4.6261         
100       10000     1000000        10.0           4.6416         
101       10201     1030301        10.0499        4.657          
102       10404     1061208        10.0995        4.6723         
103       10609     1092727        10.1489        4.6875         
104       10816     1124864        10.198         4.7027         
105       11025     1157625        10.247         4.7177         
106       11236     1191016        10.2956        4.7326         
107       11449     1225043        10.3441        4.7475         
108       11664     1259712        10.3923        4.7622         
109       11881     1295029        10.4403        4.7769         
110       12100     1331000        10.4881        4.7914         
111       12321     1367631        10.5357        4.8059         
112       12544     1404928        10.583         4.8203         
113       12769     1442897        10.6301        4.8346         
114       12996     1481544        10.6771        4.8488         
115       13225     1520875        10.7238        4.8629         
116       13456     1560896        10.7703        4.877          
117       13689     1601613        10.8167        4.891          
118       13924     1643032        10.8628        4.9049         
119       14161     1685159        10.9087        4.9187         
120       14400     1728000        10.9545        4.9324         
121       14641     1771561        11.0           4.9461         
122       14884     1815848        11.0454        4.9597         
123       15129     1860867        11.0905        4.9732         
124       15376     1906624        11.1355        4.9866         
125       15625     1953125        11.1803        5.0            
126       15876     2000376        11.225         5.0133         
127       16129     2048383        11.2694        5.0265         
128       16384     2097152        11.3137        5.0397         
129       16641     2146689        11.3578        5.0528         
130       16900     2197000        11.4018        5.0658         
131       17161     2248091        11.4455        5.0788         
132       17424     2299968        11.4891        5.0916         
133       17689     2352637        11.5326        5.1045         
134       17956     2406104        11.5758        5.1172         
135       18225     2460375        11.619         5.1299         
136       18496     2515456        11.6619        5.1426         
137       18769     2571353        11.7047        5.1551         
138       19044     2628072        11.7473        5.1676         
139       19321     2685619        11.7898        5.1801         
140       19600     2744000        11.8322        5.1925         
141       19881     2803221        11.8743        5.2048         
142       20164     2863288        11.9164        5.2171         
143       20449     2924207        11.9583        5.2293         
144       20736     2985984        12.0           5.2415         
145       21025     3048625        12.0416        5.2536         
146       21316     3112136        12.083         5.2656         
147       21609     3176523        12.1244        5.2776         
148       21904     3241792        12.1655        5.2896         
149       22201     3307949        12.2066        5.3015         
150       22500     3375000        12.2474        5.3133         
151       22801     3442951        12.2882        5.3251         
152       23104     3511808        12.3288        5.3368         
153       23409     3581577        12.3693        5.3485         
154       23716     3652264        12.4097        5.3601         
155       24025     3723875        12.4499        5.3717         
156       24336     3796416        12.49          5.3832         
157       24649     3869893        12.53          5.3947         
158       24964     3944312        12.5698        5.4061         
159       25281     4019679        12.6095        5.4175         
160       25600     4096000        12.6491        5.4288         
161       25921     4173281        12.6886        5.4401         
162       26244     4251528        12.7279        5.4514         
163       26569     4330747        12.7671        5.4626         
164       26896     4410944        12.8062        5.4737         
165       27225     4492125        12.8452        5.4848         
166       27556     4574296        12.8841        5.4959         
167       27889     4657463        12.9228        5.5069         
168       28224     4741632        12.9615        5.5178         
169       28561     4826809        13.0           5.5288         
170       28900     4913000        13.0384        5.5397         
171       29241     5000211        13.0767        5.5505         
172       29584     5088448        13.1149        5.5613         
173       29929     5177717        13.1529        5.5721         
174       30276     5268024        13.1909        5.5828         
175       30625     5359375        13.2288        5.5934         
176       30976     5451776        13.2665        5.6041         
177       31329     5545233        13.3041        5.6147         
178       31684     5639752        13.3417        5.6252         
179       32041     5735339        13.3791        5.6357         
180       32400     5832000        13.4164        5.6462         
181       32761     5929741        13.4536        5.6567         
182       33124     6028568        13.4907        5.6671         
183       33489     6128487        13.5277        5.6774         
184       33856     6229504        13.5647        5.6877         
185       34225     6331625        13.6015        5.698          
186       34596     6434856        13.6382        5.7083         
187       34969     6539203        13.6748        5.7185         
188       35344     6644672        13.7113        5.7287         
189       35721     6751269        13.7477        5.7388         
190       36100     6859000        13.784         5.7489         
191       36481     6967871        13.8203        5.759          
192       36864     7077888        13.8564        5.769          
193       37249     7189057        13.8924        5.779          
194       37636     7301384        13.9284        5.789          
195       38025     7414875        13.9642        5.7989         
196       38416     7529536        14.0           5.8088         
197       38809     7645373        14.0357        5.8186         
198       39204     7762392        14.0712        5.8285         
199       39601     7880599        14.1067        5.8383         
200       40000     8000000        14.1421        5.848          
201       40401     8120601        14.1774        5.8578         
202       40804     8242408        14.2127        5.8675         
203       41209     8365427        14.2478        5.8771         
204       41616     8489664        14.2829        5.8868         
205       42025     8615125        14.3178        5.8964         
206       42436     8741816        14.3527        5.9059         
207       42849     8869743        14.3875        5.9155         
208       43264     8998912        14.4222        5.925          
209       43681     9129329        14.4568        5.9345         
210       44100     9261000        14.4914        5.9439         
211       44521     9393931        14.5258        5.9533         
212       44944     9528128        14.5602        5.9627         
213       45369     9663597        14.5945        5.9721         
214       45796     9800344        14.6287        5.9814         
215       46225     9938375        14.6629        5.9907         
216       46656     10077696       14.6969        6.0            
217       47089     10218313       14.7309        6.0092         
218       47524     10360232       14.7648        6.0185         
219       47961     10503459       14.7986        6.0277         
220       48400     10648000       14.8324        6.0368         
221       48841     10793861       14.8661        6.0459         
222       49284     10941048       14.8997        6.055          
223       49729     11089567       14.9332        6.0641         
224       50176     11239424       14.9666        6.0732         
225       50625     11390625       15.0           6.0822         
226       51076     11543176       15.0333        6.0912         
227       51529     11697083       15.0665        6.1002         
228       51984     11852352       15.0997        6.1091         
229       52441     12008989       15.1327        6.118          
230       52900     12167000       15.1658        6.1269         
231       53361     12326391       15.1987        6.1358         
232       53824     12487168       15.2315        6.1446         
233       54289     12649337       15.2643        6.1534         
234       54756     12812904       15.2971        6.1622         
235       55225     12977875       15.3297        6.171          
236       55696     13144256       15.3623        6.1797         
237       56169     13312053       15.3948        6.1885         
238       56644     13481272       15.4272        6.1972         
239       57121     13651919       15.4596        6.2058         
240       57600     13824000       15.4919        6.2145         
241       58081     13997521       15.5242        6.2231         
242       58564     14172488       15.5563        6.2317         
243       59049     14348907       15.5885        6.2403         
244       59536     14526784       15.6205        6.2488         
245       60025     14706125       15.6525        6.2573         
246       60516     14886936       15.6844        6.2658         
247       61009     15069223       15.7162        6.2743         
248       61504     15252992       15.748         6.2828         
249       62001     15438249       15.7797        6.2912         
250       62500     15625000       15.8114        6.2996         
251       63001     15813251       15.843         6.308          
252       63504     16003008       15.8745        6.3164         
253       64009     16194277       15.906         6.3247         
254       64516     16387064       15.9374        6.333          
255       65025     16581375       15.9687        6.3413         
256       65536     16777216       16.0           6.3496         
257       66049     16974593       16.0312        6.3579         
258       66564     17173512       16.0624        6.3661         
259       67081     17373979       16.0935        6.3743         
260       67600     17576000       16.1245        6.3825         
