n	n^2		n^3		rad_quad(n)		rad_cub(n)
---------------------------------------------------------------------------
4	16		64		2.0			1.5874
16	256		4096		4.0			2.5198
36	1296		46656		6.0			3.3019
64	4096		262144		8.0			4.0
100	10000		1000000		10.0			4.6416
144	20736		2985984		12.0			5.2415
196	38416		7529536		14.0			5.8088
256	65536		16777216		16.0			6.3496
324	104976		34012224		18.0			6.8683
400	160000		64000000		20.0			7.3681
484	234256		113379904		22.0			7.8514
576	331776		191102976		24.0			8.3203
676	456976		308915776		26.0			8.7764
784	614656		481890304		28.0			9.2209
900	810000		729000000		30.0			9.6549
